SMILES,atom undefined stereo count,bond defined stereo count,complexity,hydrogen bond donors,hydrogen bond acceptors,rotatable bonds,heavy atom count,heavy atom molecular weight,LogP,monoisotopic weight,molar refractivity,total charge,topological polar surface area,quantitative estimate of drug-likeness,molecular complexity index,number of valence electrons,radical electrons,Acute toxicity,Flammability,Instability,Skin Toxicity,Respiratory Toxicity,Eye Toxicity,Environmental Toxicity,domain_status
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1.O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1.[Mg],0,0,1021.746376,2,14,6,33,476.465,1.8528,481.9792406,101.894,0,299.3,0.336844175,1021.746376,170,2,2,3,0,4,4,4,4,out-of-domain
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1.O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1.[Zn],0,0,1021.746376,2,14,6,33,517.55,2.2311,521.9233411,96.14,0,299.3,0.311276671,1021.746376,170,0,3,3,1,4,4,4,4,out-of-domain
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1.O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1.[Ba],0,0,1021.746376,2,14,6,33,589.488,1.8528,595.8994461,101.894,0,299.3,0.273425377,1021.746376,170,2,3,3,1,4,4,4,4,out-of-domain
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1.O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1.[Co],0,0,1021.746376,2,14,6,33,511.093,2.2311,516.9273939,96.14,0,299.3,0.409953007,1021.746376,177,1,3,3,1,4,4,4,4,out-of-domain
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1.O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1.[Sr],0,0,1021.746376,2,14,6,33,539.78,1.8528,545.899811,101.894,0,299.3,0.296928332,1021.746376,170,2,3,3,1,4,4,4,4,out-of-domain
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1.O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1.[Mn],0,0,1021.746376,2,14,6,33,507.098,2.2311,512.932244,96.14,0,299.3,0.317818098,1021.746376,175,1,3,3,1,4,4,4,4,out-of-domain
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1.[Cu].[Cu],0,0,470.9493351,1,7,3,18,353.172,1.1118,354.8562944,48.07,0,149.65,0.483963421,470.9493351,106,2,3,3,1,4,4,4,4,out-of-domain
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1.O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1.[Pb],0,0,1021.746376,2,14,6,33,659.36,1.8528,665.970851,101.894,0,299.3,0.252780011,1021.746376,172,4,3,3,1,4,4,4,4,out-of-domain
O.O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1.[Na],0,0,468.6008196,1,7,3,18,265.069,-0.0887,269.9974334,57.4378,0,181.15,0.451589022,468.6008196,93,1,3,3,1,4,4,4,4,out-of-domain
O=[N+]([O-])c1ccc(B(O)O)cc1O,0,0,339.796538,3,5,2,13,176.88,-1.0198,183.0339027,44.5868,0,103.83,0.308894613,339.796538,68,0,3,2,2,4,4,4,3,in-domain
CC(=O)C(N=Nc1cc([N+](=O)[O-])ccc1O)=C(C)O,0,0,587.9934957,2,7,4,19,254.137,2.7626,265.0698705,65.287,0,125.39,0.284382727,587.9934957,100,0,4,3,2,4,4,4,4,in-domain
CC(=O)/C(N=Nc1cc([N+](=O)[O-])ccc1O)=C(\C)O,0,1,587.9934957,2,7,4,19,254.137,2.7626,265.0698705,65.287,0,125.39,0.284382727,587.9934957,100,0,4,3,2,4,4,4,4,in-domain
O=[N+]([O-])c1cc(N=Nc2ccc(O)c([N+](=O)[O-])c2)ccc1O,0,0,723.6811032,2,8,4,22,296.154,3.3296,304.044384,73.6984,0,151.46,0.50164026,723.6811032,112,0,3,2,1,4,4,4,4,in-domain
CCO[N+](=O)c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,0,0,492.417028,1,7,5,18,250.102,1.5705,258.035676,56.329,1,135.82,0.624542322,492.417028,96,0,4,3,0,4,4,4,4,in-domain
O=[N+]([O-])c1ccc(N=Nc2ccc(O)c([N+](=O)[O-])c2)cc1,0,0,726.9276868,1,7,4,21,280.155,3.624,288.0494694,72.0336,0,131.23,0.520865655,726.9276868,106,0,2,3,0,4,4,4,4,in-domain
O=[N+]([O-])c1cccc(N=Nc2ccccc2O)c1O,0,0,655.1727973,2,6,3,19,250.149,3.4214,259.0593058,67.044,0,108.32,0.499587054,655.1727973,96,0,2,4,0,4,4,4,4,in-domain
