SMILES,atom undefined stereo count,bond defined stereo count,complexity,hydrogen bond donors,hydrogen bond acceptors,rotatable bonds,heavy atom count,heavy atom molecular weight,LogP,monoisotopic weight,molar refractivity,total charge,topological polar surface area,quantitative estimate of drug-likeness,molecular complexity index,number of valence electrons,radical electrons,Acute toxicity,Flammability,Instability,Skin Toxicity,Respiratory Toxicity,Eye Toxicity,Environmental Toxicity,domain_status
C=CC(C)c1ccccc1,1,0,198.538112,0,0,2,10,120.11,2.9761,132.0939004,45.054,0,0,0.542539543,198.538112,52,0,4,2,2,4,3,4,4,in-domain
CC(C)CCCc1ccccc1,0,0,198.538112,0,0,4,12,144.132,3.6653,162.1408506,54.218,0,0,0.633422339,198.538112,66,0,4,2,1,4,4,4,4,in-domain
C=C(CCC)c1ccccc1,0,0,221.0534431,0,0,3,11,132.121,3.4999,146.1095504,50.384,0,0,0.611885401,221.0534431,58,0,4,0,1,4,4,4,4,in-domain
CCCCCCC(C)Cc1ccccc1,1,0,237.4750399,0,0,7,15,180.165,4.8356,204.1878008,68.069,0,0,0.557675966,237.4750399,84,0,3,0,0,4,4,4,4,in-domain
C=CCC(C)c1ccccc1,1,0,210.7397365,0,0,3,11,132.121,3.3662,146.1095504,49.671,0,0,0.573425895,210.7397365,58,0,3,4,2,4,4,4,4,in-domain
C/C=C/CCc1ccccc1,0,1,208.7397365,0,0,3,11,132.121,3.1953,146.1095504,49.577,0,0,0.574345834,208.7397365,58,0,3,2,2,4,4,4,4,in-domain
CCCCC/C=C/c1ccccc1,0,1,233.4750399,0,0,5,13,156.143,4.2801,174.1408506,59.618,0,0,0.584353919,233.4750399,70,0,4,0,1,4,4,4,4,in-domain
CC/C=C/c1ccccc1,0,1,196.538112,0,0,2,10,120.11,3.1098,132.0939004,45.767,0,0,0.579649386,196.538112,52,0,4,2,1,4,4,4,4,in-domain
C/C=C(\CC)c1ccccc1,0,1,231.4750399,0,0,2,11,132.121,3.4999,146.1095504,50.384,0,0,0.598689383,231.4750399,58,0,4,3,2,4,4,4,4,in-domain
CC/C=C(\C)c1ccccc1,0,1,231.4750399,0,0,2,11,132.121,3.4999,146.1095504,50.384,0,0,0.598689383,231.4750399,58,0,4,3,2,4,4,4,4,in-domain
CC/C=C\c1ccccc1,0,1,196.538112,0,0,2,10,120.11,3.1098,132.0939004,45.767,0,0,0.579649386,196.538112,52,0,4,2,1,4,4,4,4,in-domain
C/C=C(/CC)c1ccccc1,0,1,231.4750399,0,0,2,11,132.121,3.4999,146.1095504,50.384,0,0,0.598689383,231.4750399,58,0,4,3,2,4,4,4,4,in-domain
CCCCCCCC/C=C/c1ccccc1,0,1,271.3496014,0,0,8,16,192.176,5.4504,216.1878008,73.469,0,0,0.506756695,271.3496014,88,0,4,2,1,4,4,4,4,in-domain
C/C=C\c1ccccc1C,0,1,233.5485556,0,0,1,10,120.11,3.02812,132.0939004,45.887,0,0,0.550631302,233.5485556,52,0,3,3,3,4,4,4,4,in-domain
CCc1cccc(F)c1,0,0,193.514053,0,0,1,9,115.086,2.3881,124.0688285,35.778,0,0,0.538862312,193.514053,48,0,4,3,2,4,4,4,4,in-domain
CCC=Cc1ccccc1,0,0,196.538112,0,0,2,10,120.11,3.1098,132.0939004,45.767,0,0,0.579649386,196.538112,52,0,4,2,1,4,4,4,4,in-domain
CC=CCc1ccccc1,0,0,196.538112,0,0,2,10,120.11,2.8052,132.0939004,44.96,0,0,0.542663233,196.538112,52,0,3,2,2,4,2,4,4,in-domain
CC(C)CCCCCc1ccccc1,0,0,223.0534431,0,0,6,14,168.154,4.4455,190.1721507,63.452,0,0,0.581463355,223.0534431,78,0,3,2,1,4,4,4,4,in-domain
Cc1ccc([Sb](=O)(O)O)cc1,0,0,285.0589253,2,1,1,11,253.834,-0.44398,261.9589848,41.6911,0,57.53,0.674893011,285.0589253,60,0,4,1,1,4,4,4,4,in-domain
Cc1ccccc1.[C-]#[O+].[C-]#[O+].[C-]#[O+].[Cr],0,0,224.2745154,0,0,0,14,220.103,1.87999,227.9878516,42.9675,0,59.7,0.480540809,224.2745154,72,0,3,3,0,4,4,4,4,in-domain
[Br-].[CH2-]c1ccccc1.[Mg+2],0,0,138.8435008,0,0,0,9,188.286,-1.50801,193.958154,36.655,0,0,0.348825822,138.8435008,44,0,1,3,0,4,4,3,4,in-domain
[2H]c1c([2H])c([2H])c(C([2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])c([2H])c1[2H],0,0,522.5566628,0,0,3,9,108.099,2.81,132.1692213,40.531,0,0,0.592984309,522.5566628,48,0,3,0,3,4,4,4,4,in-domain
[2H]c1c(C([2H])([2H])[2H])c([2H])c(C([2H])([2H])[2H])c([2H])c1C([2H])([2H])[2H],0,0,456.0250784,0,0,3,9,108.099,2.61186,132.1692213,40.653,0,0,0.59278874,456.0250784,48,0,3,4,2,4,4,4,4,in-domain
CCCc1ccc(F)cc1,0,0,188.3881692,0,0,2,10,127.097,2.7782,138.0844786,40.395,0,0,0.589109887,188.3881692,54,0,3,3,1,3,4,4,2,in-domain
[2H]C([2H])([2H])C([2H])([2H])c1ccccc1,0,0,274.3359023,0,0,2,8,96.088,2.249,111.1096341,35.82,0,0,0.548781768,274.3359023,42,0,3,4,2,4,4,4,4,in-domain
Cc1ccc(I)c(I)c1,0,0,218.1561776,0,0,0,9,337.885,3.20422,343.8558962,56.613,0,0,0.634526364,218.1561776,48,0,2,4,0,4,4,4,4,in-domain
[CH2-]c1ccccc1.[Zn+]Br,0,0,138.8435008,0,0,0,9,229.371,2.71189,233.9022545,39.828,0,0,0.479842955,138.8435008,44,0,3,3,0,4,4,3,4,in-domain
C[CH-]c1ccccc1.[Zn+]Br,0,0,150.6035799,0,0,1,10,241.382,3.10199,247.9179046,44.445,0,0,0.530606418,150.6035799,50,0,3,3,0,4,4,4,4,in-domain
[CH2-]Cc1ccccc1.[Cl-].[Mg+2],0,0,150.6035799,0,0,1,10,155.846,-1.31361,164.0243197,41.257,0,0,0.357513488,150.6035799,50,0,1,3,0,4,4,3,4,in-domain
I[Hg]Cc1ccccc1,0,0,161.8269363,0,0,2,9,411.571,2.6191,419.9298912,44.166,0,0,0.51169318,161.8269363,44,0,2,4,2,4,4,4,4,out-of-domain
[Br-].[CH2-]c1ccccc1.[Zn+2],0,0,138.8435008,0,0,0,9,229.371,-1.12971,233.9022545,30.901,0,0,0.395030091,138.8435008,44,0,1,3,0,4,4,3,4,in-domain
[CH2-]c1ccccc1.[Li+],0,0,134.3141758,0,0,0,8,91.018,-1.12721,98.07077977,30.901,0,0,0.284424949,134.3141758,36,0,1,3,0,4,4,3,4,in-domain
[Br-].[CH2-]CCc1ccccc1.[Mg+2],0,0,162.4735185,0,0,2,11,212.308,-0.92351,221.9894542,45.874,0,0,0.449191323,162.4735185,56,0,4,0,2,4,4,4,4,in-domain
Cl[Zn+].[CH2-]c1ccccc1,0,0,138.8435008,0,0,0,9,184.92,2.55579,189.9527701,36.754,0,0,0.437238111,138.8435008,44,0,3,3,0,4,4,3,4,in-domain
[CH2-]c1ccc(C)cc1.[Cl-].[Mg+2],0,0,148.1173949,0,0,0,10,155.846,-1.19959,164.0243197,41.392,0,0,0.33426465,148.1173949,50,0,3,3,1,4,4,4,4,in-domain
C[Te]C(C)c1ccccc1,1,0,181.1795714,0,0,2,10,235.699,2.4999,250.0001248,46.475,0,0,0.704906322,181.1795714,54,0,4,2,2,4,4,4,4,in-domain
[2H]c1c([2H])c(C([2H])([2H])[2H])c([2H])c(C([2H])([2H])[2H])c1[2H],0,0,439.1168761,0,0,2,8,96.088,2.30344,116.1410178,35.916,0,0,0.555916912,439.1168761,42,0,4,3,3,4,4,4,4,in-domain
[2H]c1c([2H])c([2H])c(C=C)c([2H])c1[2H],0,0,340.282515,0,0,1,8,96.088,2.3296,109.093984,36.533,0,0,0.51888958,340.282515,40,0,3,4,0,4,4,4,4,in-domain
[2H]C=Cc1ccccc1,0,0,188.9824258,0,0,1,8,96.088,2.3296,105.068877,36.533,0,0,0.513847764,188.9824258,40,0,3,4,0,4,4,4,4,in-domain
[13CH3]c1ccccc1,0,0,129.9656602,0,0,0,7,85.06935484,1.99502,93.0659551,31.179,0,0,0.430170124,129.9656602,36,0,2,3,0,4,4,4,4,in-domain
[2H]c1c([2H])c(C)c([2H])c([2H])c1C,0,0,225.3226403,0,0,0,8,96.088,2.30344,110.1033573,35.916,0,0,0.480441687,225.3226403,42,0,4,0,1,4,4,4,4,in-domain
[2H]c1c([2H])c(C)c([2H])c(C)c1[2H],0,0,225.3226403,0,0,0,8,96.088,2.30344,110.1033573,35.916,0,0,0.480441687,225.3226403,42,0,3,0,3,4,4,4,4,in-domain
CC[C@@H](C)Cc1ccccc1,0,0,188.4531007,0,0,3,11,132.121,3.2752,148.1252005,49.601,0,0,0.616783683,188.4531007,60,0,2,0,0,4,1,4,4,in-domain
CC[C@@H](C)c1ccccc1,0,0,176.4896155,0,0,2,10,120.11,3.2001,134.1095504,45.148,0,0,0.58232531,176.4896155,54,0,3,4,2,4,3,4,4,in-domain
CCCC[Sn](CCCC)(CCCC)Cc1ccccc1,0,0,309.1048655,0,0,11,20,346.92,6.6174,382.1682458,95.045,0,0,0.378200578,309.1048655,114,0,2,4,4,4,4,4,4,out-of-domain
C=C(C)c1ccccc1C(=C)C,0,0,285.5651247,0,0,2,12,144.132,3.7528,158.1095504,55.858,0,0,0.6145109,285.5651247,62,0,3,3,1,4,4,4,4,in-domain
CC(C)=CCC/C(C)=C/CCc1ccccc1,0,1,364.2846008,0,0,6,17,204.187,5.3119,228.1878008,77.185,0,0,0.578589927,364.2846008,92,0,3,2,3,4,4,4,4,in-domain
F/C=C\c1ccccc1,0,1,188.9824258,0,0,1,9,115.086,2.6268,122.0531784,36.584,0,0,0.536740066,188.9824258,46,0,3,3,2,4,4,4,4,in-domain
CCC(C)=Cc1ccccc1,0,0,231.4750399,0,0,2,11,132.121,3.4999,146.1095504,50.384,0,0,0.598689383,231.4750399,58,0,4,4,1,4,4,4,4,in-domain
C=Cc1ccc(C(=C)C)cc1,0,0,264.5947139,0,0,2,11,132.121,3.3627,144.0939004,51.241,0,0,0.596664107,264.5947139,56,0,4,4,3,4,4,4,4,in-domain
CC[C@H](C)c1ccccc1,0,0,176.4896155,0,0,2,10,120.11,3.2001,134.1095504,45.148,0,0,0.58232531,176.4896155,54,0,3,4,2,4,3,4,4,in-domain
F/C=C/c1ccccc1,0,1,188.9824258,0,0,1,9,115.086,2.6268,122.0531784,36.584,0,0,0.536740066,188.9824258,46,0,3,3,2,4,4,4,4,in-domain
C/C=C/C#CC#Cc1ccccc1,0,1,388.3949428,0,0,0,13,156.143,2.6176,166.0782503,55.91,0,0,0.519607297,388.3949428,62,0,4,4,2,4,4,4,4,in-domain
C1=CCC(c2ccccc2)=CC1,0,0,304.0700122,0,0,1,12,144.132,3.42,156.0939004,52.793,0,0,0.546388683,304.0700122,60,0,4,4,4,4,4,3,4,in-domain
Cc1ccccc1[Hg]c1ccccc1C,0,0,416.9008091,0,0,2,15,368.744,2.33674,384.0801934,61.626,0,0,0.699380522,416.9008091,72,0,2,4,2,4,4,4,4,out-of-domain
Cc1ccccc1[Hg]Cl,0,0,197.8625685,0,0,1,9,320.12,1.85662,327.9942709,36.666,0,0,0.690985272,197.8625685,44,0,2,4,2,4,4,4,3,in-domain
CCCCCC#Cc1ccccc1,0,0,273.9017745,0,0,3,13,156.143,3.6184,172.1252005,57.462,0,0,0.482295148,273.9017745,68,0,3,4,2,4,4,4,4,in-domain
CC(C)C#Cc1ccccc1,0,0,259.0849389,0,0,0,11,132.121,2.6941,144.0939004,48.158,0,0,0.490990323,259.0849389,56,0,2,2,2,4,4,4,4,in-domain
C1=C(c2ccccc2)CC1,0,0,244.0006373,0,0,1,10,120.11,2.8638,130.0782503,43.653,0,0,0.54799803,244.0006373,50,0,4,4,4,4,4,4,4,in-domain
CC(C)(C)C#Cc1ccccc1,0,0,290.2955746,0,0,0,12,144.132,3.0842,158.1095504,52.775,0,0,0.508890743,290.2955746,62,0,2,2,2,4,4,4,4,in-domain
C[Sn](C)(C)Cc1ccccc1,0,0,208.0644284,0,0,2,11,238.821,3.1065,256.0273952,53.492,0,0,0.711981569,208.0644284,60,0,2,3,0,3,4,4,4,in-domain
[CH2-]c1ccccc1,0,0,129.9656602,0,0,0,7,84.077,1.86879,91.0553238,30.901,-1,0,0.427426386,129.9656602,36,0,2,3,0,4,4,4,4,in-domain
CCCCCCC#Cc1ccccc1,0,0,286.8095034,0,0,4,14,168.154,4.0085,186.1408506,62.079,0,0,0.492093135,286.8095034,74,0,3,4,2,4,4,4,4,in-domain
CCCCc1ccc(F)cc1,0,0,200.6176914,0,0,3,11,139.108,3.1683,152.1001286,45.012,0,0,0.623684529,200.6176914,60,0,2,2,0,4,4,4,4,in-domain
C[Pb](C)(C)Cc1ccccc1,0,0,208.0644284,0,0,2,11,327.31,3.1065,344.1018526,53.492,0,0,0.724106927,208.0644284,60,0,2,4,0,4,4,4,4,in-domain
C(=C1CC1)c1ccccc1,0,0,238.0006373,0,0,1,10,120.11,2.8638,130.0782503,43.653,0,0,0.54799803,238.0006373,50,0,4,2,2,4,4,4,4,in-domain
CCCCC=Cc1ccccc1,0,0,221.0534431,0,0,4,12,144.132,3.89,160.1252005,55.001,0,0,0.586053865,221.0534431,64,0,4,2,1,4,4,4,4,in-domain
CCC(C)CCCCc1ccccc1,1,0,225.0534431,0,0,6,14,168.154,4.4455,190.1721507,63.452,0,0,0.581463355,225.0534431,78,0,4,2,1,4,4,4,4,in-domain
CC(=C1C=CC=C1)c1ccccc1,0,0,363.7591543,0,0,1,13,156.143,3.5861,168.0939004,57.316,0,0,0.600827632,363.7591543,64,0,3,2,1,3,2,3,4,in-domain
CC/C(C)=C/c1ccccc1,0,1,231.4750399,0,0,2,11,132.121,3.4999,146.1095504,50.384,0,0,0.598689383,231.4750399,58,0,4,4,1,4,4,4,4,in-domain
C/C=C/CCCc1ccccc1,0,1,221.0534431,0,0,4,12,144.132,3.5854,160.1252005,54.194,0,0,0.466201022,221.0534431,64,0,2,3,1,4,2,4,3,in-domain
CC(C)(C)/C=C\c1ccccc1,0,1,249.1168413,0,0,1,12,144.132,3.7459,160.1252005,54.931,0,0,0.586666943,249.1168413,64,0,4,4,3,4,4,4,4,in-domain
CC(C)(C)/C=C/c1ccccc1,0,1,249.1168413,0,0,1,12,144.132,3.7459,160.1252005,54.931,0,0,0.586666943,249.1168413,64,0,4,4,3,4,4,4,4,in-domain
CC(F)c1ccccc1,1,0,167.1823264,0,0,1,9,115.086,2.7171,124.0688285,35.965,0,0,0.53959955,167.1823264,48,0,4,3,1,4,4,4,2,in-domain
CCC/C=C/c1ccc(F)cc1,0,1,246.211552,0,0,3,12,151.119,3.639,164.1001286,50.342,0,0,0.639422998,246.211552,64,0,4,0,1,4,4,4,4,in-domain
CCCCC(F)c1ccccc1,1,0,205.5039142,0,0,4,12,151.119,3.8874,166.1157787,49.816,0,0,0.636225646,205.5039142,66,0,4,0,4,4,4,4,4,in-domain
CCc1ccccc1F,0,0,193.514053,0,0,1,9,115.086,2.3881,124.0688285,35.778,0,0,0.538862312,193.514053,48,0,3,3,1,3,4,3,4,in-domain
CCC(F)c1ccccc1,1,0,181.1795714,0,0,2,10,127.097,3.1072,138.0844786,40.582,0,0,0.588663436,181.1795714,54,0,3,4,2,4,3,4,4,in-domain
CC/C=C/c1ccc(F)cc1,0,1,233.5546193,0,0,2,11,139.108,3.2489,150.0844786,45.725,0,0,0.606679258,233.5546193,58,0,4,3,1,4,4,4,4,in-domain
C/C=C/c1ccc(F)cc1,0,1,220.9885116,0,0,1,10,127.097,2.8588,136.0688285,41.108,0,0,0.556495705,220.9885116,52,0,4,2,2,4,4,4,4,in-domain
CC(F)Cc1ccccc1,1,0,179.1795714,0,0,2,10,127.097,2.5871,138.0844786,40.716,0,0,0.588871561,179.1795714,54,0,3,2,0,4,3,4,4,in-domain
C=C(CF)c1ccccc1,0,0,213.4296924,0,0,2,10,127.097,2.6693,136.0688285,41.451,0,0,0.585956148,213.4296924,52,0,2,0,2,4,4,4,4,in-domain
C/C=C(\F)c1ccccc1,0,1,223.7433991,0,0,1,10,127.097,3.0169,136.0688285,41.201,0,0,0.556304679,223.7433991,52,0,4,3,2,4,4,4,4,in-domain
C/C=C(/F)c1ccccc1,0,1,223.7433991,0,0,1,10,127.097,3.0169,136.0688285,41.201,0,0,0.556304679,223.7433991,52,0,4,3,2,4,4,4,4,in-domain
CC(F)CCc1ccccc1,1,0,191.2875676,0,0,3,11,139.108,2.9772,152.1001286,45.333,0,0,0.624250901,191.2875676,60,0,3,2,1,4,4,4,4,in-domain
C=C(F)Cc1ccccc1,0,0,213.4296924,0,0,2,10,127.097,2.7123,136.0688285,40.394,0,0,0.586006403,213.4296924,52,0,2,0,2,4,4,4,4,in-domain
FCCCCc1ccccc1,0,0,181.3240823,0,0,4,11,139.108,2.9788,152.1001286,45.355,0,0,0.581694269,181.3240823,60,0,4,0,3,4,4,4,4,in-domain
Cc1cccc(P(Cl)Cl)c1,0,0,222.601021,0,0,1,10,185.957,3.40982,191.9662422,49.439,0,0,0.599115914,222.601021,54,0,3,4,1,4,4,4,4,in-domain
Cc1ccccc1P(Cl)Cl,0,0,222.601021,0,0,1,10,185.957,3.40982,191.9662422,49.439,0,0,0.599115914,222.601021,54,0,2,4,2,4,4,4,3,in-domain
[CH2]c1ccccc1,0,0,129.9656602,0,0,0,7,84.077,1.86879,91.05477522,30.901,0,0,0.456915551,129.9656602,35,1,3,4,0,4,4,4,4,in-domain
[CH2]c1ccccc1C,0,0,156.1481139,0,0,0,8,96.088,2.17721,105.0704253,35.638,0,0,0.474057492,156.1481139,41,1,3,4,2,4,4,4,4,in-domain
[CH2]Cc1ccccc1,0,0,141.3842989,0,0,1,8,96.088,2.06319,105.0704253,35.503,0,0,0.512506119,141.3842989,41,1,2,3,0,3,4,3,4,in-domain
CCC#CC#Cc1ccccc1,0,0,338.3551922,0,0,0,12,144.132,2.4515,154.0782503,51.387,0,0,0.503411913,338.3551922,58,0,4,1,2,4,4,4,4,in-domain
CC(C)=CCC/C(C)=C/Cc1ccccc1,0,1,350.8845172,0,0,5,16,192.176,4.9218,214.1721507,72.568,0,0,0.610093392,350.8845172,86,0,3,4,3,4,4,4,3,in-domain
CC=C(CC)c1ccccc1,0,0,231.4750399,0,0,2,11,132.121,3.4999,146.1095504,50.384,0,0,0.598689383,231.4750399,58,0,4,3,2,4,4,4,4,in-domain
C=CC=Cc1ccccc1,0,0,219.0534431,0,0,2,10,120.11,2.8858,130.0782503,45.673,0,0,0.539838552,219.0534431,50,0,3,0,1,4,3,4,4,in-domain
PCc1ccccc1,0,0,145.7328145,0,0,1,8,115.051,2.0617,124.0441869,39.856,0,0,0.502501068,145.7328145,42,0,2,3,0,3,4,3,4,in-domain
C=CCCCCc1ccccc1,0,0,210.7397365,0,0,5,12,144.132,3.5854,160.1252005,54.194,0,0,0.455910644,210.7397365,64,0,2,0,1,4,2,4,3,in-domain
C=C(c1ccccc1)C(C)C,0,0,231.4750399,0,0,2,11,132.121,3.3558,146.1095504,50.314,0,0,0.599839338,231.4750399,58,0,4,0,1,4,4,4,4,in-domain
C=C(C)CCCc1ccccc1,0,0,233.4750399,0,0,4,12,144.132,3.5854,160.1252005,54.194,0,0,0.590406405,233.4750399,64,0,3,2,2,4,4,4,4,in-domain
CCCC=C=Cc1ccccc1,0,0,263.3496014,0,0,3,12,144.132,3.655,158.1095504,53.897,0,0,0.588830015,263.3496014,62,0,2,4,3,4,4,4,4,in-domain
C#C/C=C/c1ccccc1,0,1,249.1168413,0,0,1,10,120.11,2.333,128.0626003,44.309,0,0,0.509066553,249.1168413,48,0,3,2,2,4,4,4,4,in-domain
C(=C1CCCCC1)c1ccccc1,0,0,274.166437,0,0,1,13,156.143,4.0341,172.1252005,57.504,0,0,0.599531961,274.166437,68,0,4,2,3,4,4,4,4,in-domain
Cc1ccc(P)cc1,0,0,143.2466295,0,0,0,8,115.051,1.49542,124.0441869,40.523,0,0,0.459552757,143.2466295,42,0,3,2,1,4,4,4,4,in-domain
C=CCC#Cc1ccccc1,0,0,271.9017745,0,0,1,11,132.121,2.6142,142.0782503,48.134,0,0,0.417401537,271.9017745,54,0,2,4,2,4,4,3,4,in-domain
C/C=C\c1ccc(C)cc1,0,1,216.2985556,0,0,1,10,120.11,3.02812,132.0939004,45.887,0,0,0.550631302,216.2985556,52,0,3,2,0,4,4,4,3,in-domain
[O+]#Cc1ccccc1,0,0,195.3768526,0,0,0,8,100.076,1.4244,105.0334912,30.1185,1,19.9,0.444581824,195.3768526,38,0,3,2,2,4,4,4,4,in-domain
C/C=C/c1ccccc1C,0,1,233.5485556,0,0,1,10,120.11,3.02812,132.0939004,45.887,0,0,0.550631302,233.5485556,52,0,3,3,3,4,4,4,4,in-domain
C/C=C\CCc1ccccc1,0,1,208.7397365,0,0,3,11,132.121,3.1953,146.1095504,49.577,0,0,0.574345834,208.7397365,58,0,3,2,2,4,4,4,4,in-domain
CCCCCC/C=C/c1ccccc1,0,1,246.0006373,0,0,6,14,168.154,4.6702,188.1565006,64.235,0,0,0.56897909,246.0006373,76,0,4,2,1,4,4,4,4,in-domain
CCCC/C=C/c1ccccc1,0,1,221.0534431,0,0,4,12,144.132,3.89,160.1252005,55.001,0,0,0.586053865,221.0534431,64,0,4,2,1,4,4,4,4,in-domain
C=C(/C=C/C)c1ccccc1,0,1,254.6266163,0,0,2,11,132.121,3.2759,144.0939004,50.29,0,0,0.558656206,254.6266163,56,0,3,1,2,4,4,4,4,in-domain
CC/C=C/C=C/c1ccccc1,0,2,254.6266163,0,0,3,12,144.132,3.666,158.1095504,54.907,0,0,0.588693727,254.6266163,62,0,4,4,2,4,4,4,4,in-domain
C1=C\C=C/C(c2ccccc2)=C\C=C/1,0,4,402.9242678,0,0,1,14,168.154,3.7522,180.0939004,61.839,0,0,0.617048685,402.9242678,68,0,4,4,3,4,4,4,4,in-domain
CCCC/C=C\c1ccccc1,0,1,221.0534431,0,0,4,12,144.132,3.89,160.1252005,55.001,0,0,0.586053865,221.0534431,64,0,4,2,1,4,4,4,4,in-domain
CCC/C=C\c1ccccc1,0,1,208.7397365,0,0,3,11,132.121,3.4999,146.1095504,50.384,0,0,0.611885401,208.7397365,58,0,4,0,1,4,4,4,4,in-domain
C=C[C@@H](C)c1ccccc1,0,0,198.538112,0,0,2,10,120.11,2.9761,132.0939004,45.054,0,0,0.542539543,198.538112,52,0,4,2,2,4,3,4,4,in-domain
C=C[C@H](C)c1ccccc1,0,0,198.538112,0,0,2,10,120.11,2.9761,132.0939004,45.054,0,0,0.542539543,198.538112,52,0,4,2,2,4,3,4,4,in-domain
C=C(C)/C=C/c1ccccc1,0,1,254.6266163,0,0,2,11,132.121,3.2759,144.0939004,50.29,0,0,0.558656206,254.6266163,56,0,3,2,2,4,4,4,4,in-domain
C=C=CCCc1ccccc1,0,0,240.0006373,0,0,3,11,132.121,2.9603,144.0939004,48.473,0,0,0.572004076,240.0006373,56,0,4,3,3,4,4,4,4,in-domain
C=C=CCc1ccccc1,0,0,227.4750399,0,0,2,10,120.11,2.5702,130.0782503,43.856,0,0,0.53960435,227.4750399,50,0,3,4,2,4,4,4,4,in-domain
C=C(C)C#Cc1ccccc1,0,0,295.8053496,0,0,0,11,132.121,2.6142,142.0782503,48.134,0,0,0.48833044,295.8053496,54,0,4,2,2,4,4,4,4,in-domain
C=CC#Cc1ccccc1,0,0,259.0849389,0,0,0,10,120.11,2.2241,128.0626003,43.517,0,0,0.469846723,259.0849389,48,0,2,2,2,4,4,4,4,in-domain
C=CCC/C=C/c1ccccc1,0,1,244.0006373,0,0,4,12,144.132,3.666,158.1095504,54.907,0,0,0.463045638,244.0006373,62,0,4,3,2,4,4,4,4,in-domain
C/C(I)=C/c1ccccc1,0,1,219.7433991,0,0,1,10,235.003,3.4824,243.9748983,54.113,0,0,0.663161963,219.7433991,52,0,4,4,2,4,4,4,4,in-domain
CCCC/C=C(\C)c1ccccc1,0,1,256.6266163,0,0,4,13,156.143,4.2801,174.1408506,59.618,0,0,0.597543396,256.6266163,70,0,4,3,2,4,4,4,4,in-domain
C/C=C/C=C/c1ccccc1,0,2,242.0006373,0,0,2,11,132.121,3.2759,144.0939004,50.29,0,0,0.558656206,242.0006373,56,0,3,3,1,4,4,4,4,in-domain
CCC(C)/C=C/c1ccccc1,1,1,233.4750399,0,0,3,12,144.132,3.7459,160.1252005,54.931,0,0,0.631436446,233.4750399,64,0,4,0,1,4,4,4,4,in-domain
C=C(CC)c1ccc(C)cc1,0,0,241.2457498,0,0,2,11,132.121,3.41822,146.1095504,50.504,0,0,0.599385213,241.2457498,58,0,4,3,3,4,4,4,4,in-domain
C/C(=C\c1ccccc1)C(C)C,0,1,254.6266163,0,0,2,12,144.132,3.7459,160.1252005,54.931,0,0,0.617818787,254.6266163,64,0,4,4,1,4,4,4,4,in-domain
C=C/C=C/c1ccccc1C,0,1,269.1217288,0,0,2,11,132.121,3.19422,144.0939004,50.41,0,0,0.55903296,269.1217288,56,0,3,1,1,4,4,4,4,in-domain
C=C/C=C/c1ccc(C)cc1,0,1,251.8717288,0,0,2,11,132.121,3.19422,144.0939004,50.41,0,0,0.55903296,251.8717288,56,0,3,1,1,4,4,4,4,in-domain
C=C/C=C/Cc1ccccc1,0,1,231.4750399,0,0,3,11,132.121,2.9713,144.0939004,49.483,0,0,0.571987291,231.4750399,56,0,3,2,2,4,4,4,4,in-domain
C=C(F)/C=C/c1ccccc1,0,1,259.4610831,0,0,2,11,139.108,3.183,148.0688285,45.724,0,0,0.564854984,259.4610831,56,0,3,2,4,4,4,4,4,in-domain
CC[As](Cl)c1ccc(C)cc1,1,0,217.5092718,0,0,2,11,218.474,2.45222,229.9843496,52.901,0,0,0.684931971,217.5092718,60,0,3,0,2,4,4,4,4,in-domain
Cc1ccc([Hg]I)cc1,0,0,180.6125685,0,0,1,9,411.571,2.05282,419.9298912,44.833,0,0,0.483806609,180.6125685,44,0,2,4,0,4,4,4,4,out-of-domain
C[CH-]c1ccccc1.Cl[Zn+],0,0,150.6035799,0,0,1,10,196.931,2.94589,203.9684202,41.371,0,0,0.489004176,150.6035799,50,0,3,3,0,4,4,4,4,in-domain
[CH2-]c1ccccc1.[Zn+]Br,0,0,138.8435008,0,0,0,9,229.371,2.71189,233.9022545,39.828,0,0,0.479842955,138.8435008,44,0,3,3,0,4,4,3,4,in-domain
[2H]C([2H])([2H])C([2H])(c1ccccc1)C([2H])([2H])[2H],0,0,334.3605172,0,0,3,9,108.099,2.81,127.1378376,40.531,0,0,0.585391975,334.3605172,48,0,4,2,0,4,3,4,4,in-domain
[2H]C([2H])(C)c1ccccc1,0,0,198.247618,0,0,1,8,96.088,2.249,108.0908038,35.82,0,0,0.517277164,198.247618,42,0,2,3,0,3,4,3,4,in-domain
[2H]C(=C)c1c([2H])c([2H])c([2H])c([2H])c1[2H],0,0,379.7779107,0,0,1,8,96.088,2.3296,110.1002607,36.533,0,0,0.52016835,379.7779107,40,0,3,4,3,4,4,4,4,in-domain
[13CH3]c1ccccc1[13CH3],0,0,156.1481139,0,0,0,8,98.07270968,2.30344,108.08496,35.916,0,0,0.447200711,156.1481139,42,0,2,4,2,4,4,4,2,in-domain
Cc1cc[13cH]cc1,0,0,129.9656602,0,0,0,7,85.06935484,1.99502,93.0659551,31.179,0,0,0.459848586,129.9656602,36,0,2,3,0,4,4,4,4,in-domain
[13CH3]c1ccc([13CH3])cc1,0,0,138.8981139,0,0,0,8,98.07270968,2.30344,108.08496,35.916,0,0,0.447200711,138.8981139,42,0,3,0,1,4,4,4,4,in-domain
